lib	type	counts
..//01.01.kallisto/kallisto/Arcanum_T0h_P1/run_info.json.1	Arcanum_T0h_P1	n_processed	29089917
..//01.01.kallisto/kallisto/Arcanum_T0h_P1/run_info.json.2	Arcanum_T0h_P1	n_pseudoaligned	24828402
..//01.01.kallisto/kallisto/Arcanum_T0h_P2/run_info.json.1	Arcanum_T0h_P2	n_processed	26266491
..//01.01.kallisto/kallisto/Arcanum_T0h_P2/run_info.json.2	Arcanum_T0h_P2	n_pseudoaligned	22496241
..//01.01.kallisto/kallisto/Arcanum_T0h_P3/run_info.json.1	Arcanum_T0h_P3	n_processed	21384211
..//01.01.kallisto/kallisto/Arcanum_T0h_P3/run_info.json.2	Arcanum_T0h_P3	n_pseudoaligned	18284588
..//01.01.kallisto/kallisto/Arcanum_T24h_P1/run_info.json.1	Arcanum_T24h_P1	n_processed	22182442
..//01.01.kallisto/kallisto/Arcanum_T24h_P1/run_info.json.2	Arcanum_T24h_P1	n_pseudoaligned	18598130
..//01.01.kallisto/kallisto/Arcanum_T24h_P2/run_info.json.1	Arcanum_T24h_P2	n_processed	18319645
..//01.01.kallisto/kallisto/Arcanum_T24h_P2/run_info.json.2	Arcanum_T24h_P2	n_pseudoaligned	15036847
..//01.01.kallisto/kallisto/Arcanum_T24h_P3/run_info.json.1	Arcanum_T24h_P3	n_processed	17475044
..//01.01.kallisto/kallisto/Arcanum_T24h_P3/run_info.json.2	Arcanum_T24h_P3	n_pseudoaligned	13747075
..//01.01.kallisto/kallisto/Arcanum_T8h_P1/run_info.json.1	Arcanum_T8h_P1	n_processed	15972044
..//01.01.kallisto/kallisto/Arcanum_T8h_P1/run_info.json.2	Arcanum_T8h_P1	n_pseudoaligned	12944254
..//01.01.kallisto/kallisto/Arcanum_T8h_P2/run_info.json.1	Arcanum_T8h_P2	n_processed	22743577
..//01.01.kallisto/kallisto/Arcanum_T8h_P2/run_info.json.2	Arcanum_T8h_P2	n_pseudoaligned	19055826
..//01.01.kallisto/kallisto/Arcanum_T8h_P3/run_info.json.1	Arcanum_T8h_P3	n_processed	24376199
..//01.01.kallisto/kallisto/Arcanum_T8h_P3/run_info.json.2	Arcanum_T8h_P3	n_pseudoaligned	21183379
..//01.01.kallisto/kallisto/Slyc_T0h_P1/run_info.json.1	Slyc_T0h_P1	n_processed	19747489
..//01.01.kallisto/kallisto/Slyc_T0h_P1/run_info.json.2	Slyc_T0h_P1	n_pseudoaligned	17429123
..//01.01.kallisto/kallisto/Slyc_T0h_P2/run_info.json.1	Slyc_T0h_P2	n_processed	22362185
..//01.01.kallisto/kallisto/Slyc_T0h_P2/run_info.json.2	Slyc_T0h_P2	n_pseudoaligned	19065381
..//01.01.kallisto/kallisto/Slyc_T0h_P3/run_info.json.1	Slyc_T0h_P3	n_processed	19820182
..//01.01.kallisto/kallisto/Slyc_T0h_P3/run_info.json.2	Slyc_T0h_P3	n_pseudoaligned	16061562
..//01.01.kallisto/kallisto/Slyc_T24h_P1/run_info.json.1	Slyc_T24h_P1	n_processed	22287906
..//01.01.kallisto/kallisto/Slyc_T24h_P1/run_info.json.2	Slyc_T24h_P1	n_pseudoaligned	19436174
..//01.01.kallisto/kallisto/Slyc_T24h_P2/run_info.json.1	Slyc_T24h_P2	n_processed	22870482
..//01.01.kallisto/kallisto/Slyc_T24h_P2/run_info.json.2	Slyc_T24h_P2	n_pseudoaligned	19827791
..//01.01.kallisto/kallisto/Slyc_T24h_P3/run_info.json.1	Slyc_T24h_P3	n_processed	17646884
..//01.01.kallisto/kallisto/Slyc_T24h_P3/run_info.json.2	Slyc_T24h_P3	n_pseudoaligned	15305810
..//01.01.kallisto/kallisto/Slyc_T8h_P1/run_info.json.1	Slyc_T8h_P1	n_processed	27214292
..//01.01.kallisto/kallisto/Slyc_T8h_P1/run_info.json.2	Slyc_T8h_P1	n_pseudoaligned	23960388
..//01.01.kallisto/kallisto/Slyc_T8h_P2/run_info.json.1	Slyc_T8h_P2	n_processed	21491639
..//01.01.kallisto/kallisto/Slyc_T8h_P2/run_info.json.2	Slyc_T8h_P2	n_pseudoaligned	18877787
..//01.01.kallisto/kallisto/Slyc_T8h_P3/run_info.json.1	Slyc_T8h_P3	n_processed	23286553
..//01.01.kallisto/kallisto/Slyc_T8h_P3/run_info.json.2	Slyc_T8h_P3	n_pseudoaligned	19909739
