lib	type	counts
1	S._arc_0h_P1	Mapped	24828402
2	S._arc_0h_P2	Mapped	22496241
3	S._arc_0h_P3	Mapped	18284588
4	S._arc_24h_P1	Mapped	18598130
5	S._arc_24h_P2	Mapped	15036847
6	S._arc_24h_P3	Mapped	13747075
7	S._arc_8h_P1	Mapped	12944254
8	S._arc_8h_P2	Mapped	19055826
9	S._arc_8h_P3	Mapped	21183379
10	S._lyc_0h_P1	Mapped	17429123
11	S._lyc_0h_P2	Mapped	19065381
12	S._lyc_0h_P3	Mapped	16061562
13	S._lyc_24h_P1	Mapped	19436174
14	S._lyc_24h_P2	Mapped	19827791
15	S._lyc_24h_P3	Mapped	15305810
16	S._lyc_8h_P1	Mapped	23960388
17	S._lyc_8h_P2	Mapped	18877787
18	S._lyc_8h_P3	Mapped	19909739
19	S._arc_0h_P1	MappedProp	85.3505425952229
20	S._arc_0h_P2	MappedProp	85.6461603493211
21	S._arc_0h_P3	MappedProp	85.5050859720754
22	S._arc_24h_P1	MappedProp	83.8416708133397
23	S._arc_24h_P2	MappedProp	82.0804497030374
24	S._arc_24h_P3	MappedProp	78.6668977771959
25	S._arc_8h_P1	MappedProp	81.0431902141016
26	S._arc_8h_P2	MappedProp	83.7855276678774
27	S._arc_8h_P3	MappedProp	86.9018955744495
28	S._lyc_0h_P1	MappedProp	88.2599453530522
29	S._lyc_0h_P2	MappedProp	85.2572367145697
30	S._lyc_0h_P3	MappedProp	81.0364001702911
31	S._lyc_24h_P1	MappedProp	87.2050250032461
32	S._lyc_24h_P2	MappedProp	86.6959909283941
33	S._lyc_24h_P3	MappedProp	86.7337825760061
34	S._lyc_8h_P1	MappedProp	88.0434001369574
35	S._lyc_8h_P2	MappedProp	87.8378191630708
36	S._lyc_8h_P3	MappedProp	85.4988670929528
37	S._arc_0h_P1	UnMapped	4261515
38	S._arc_0h_P2	UnMapped	3770250
39	S._arc_0h_P3	UnMapped	3099623
40	S._arc_24h_P1	UnMapped	3584312
41	S._arc_24h_P2	UnMapped	3282798
42	S._arc_24h_P3	UnMapped	3727969
43	S._arc_8h_P1	UnMapped	3027790
44	S._arc_8h_P2	UnMapped	3687751
45	S._arc_8h_P3	UnMapped	3192820
46	S._lyc_0h_P1	UnMapped	2318366
47	S._lyc_0h_P2	UnMapped	3296804
48	S._lyc_0h_P3	UnMapped	3758620
49	S._lyc_24h_P1	UnMapped	2851732
50	S._lyc_24h_P2	UnMapped	3042691
51	S._lyc_24h_P3	UnMapped	2341074
52	S._lyc_8h_P1	UnMapped	3253904
53	S._lyc_8h_P2	UnMapped	2613852
54	S._lyc_8h_P3	UnMapped	3376814
55	S._arc_0h_P1	UnMappedProp	14.6494574047771
56	S._arc_0h_P2	UnMappedProp	14.3538396506789
57	S._arc_0h_P3	UnMappedProp	14.4949140279246
58	S._arc_24h_P1	UnMappedProp	16.1583291866603
59	S._arc_24h_P2	UnMappedProp	17.9195502969626
60	S._arc_24h_P3	UnMappedProp	21.3331022228041
61	S._arc_8h_P1	UnMappedProp	18.9568097858984
62	S._arc_8h_P2	UnMappedProp	16.2144723321226
63	S._arc_8h_P3	UnMappedProp	13.0981044255505
64	S._lyc_0h_P1	UnMappedProp	11.7400546469478
65	S._lyc_0h_P2	UnMappedProp	14.7427632854303
66	S._lyc_0h_P3	UnMappedProp	18.9635998297089
67	S._lyc_24h_P1	UnMappedProp	12.7949749967539
68	S._lyc_24h_P2	UnMappedProp	13.3040090716059
69	S._lyc_24h_P3	UnMappedProp	13.2662174239939
70	S._lyc_8h_P1	UnMappedProp	11.9565998630426
71	S._lyc_8h_P2	UnMappedProp	12.1621808369292
72	S._lyc_8h_P3	UnMappedProp	14.5011329070472
